Country Name,Country Code,Indicator Name,Indicator Code,values
IDA & IBRD total,IBT,GDP (current US$),NY.GDP.MKTP.CD,41559700000000.0
IDA total,IDA,GDP (current US$),NY.GDP.MKTP.CD,2828040000000.0
IDA blend,IDB,GDP (current US$),NY.GDP.MKTP.CD,1044020000000.0
Indonesia,IDN,GDP (current US$),NY.GDP.MKTP.CD,1371170000000.0
IDA only,IDX,GDP (current US$),NY.GDP.MKTP.CD,1786070000000.0
Isle of Man,IMN,GDP (current US$),NY.GDP.MKTP.CD,7931193222.0
India,IND,GDP (current US$),NY.GDP.MKTP.CD,3549920000000.0
Not classified,INX,GDP (current US$),NY.GDP.MKTP.CD,0.0
Ireland,IRL,GDP (current US$),NY.GDP.MKTP.CD,545629000000.0
"Iran, Islamic Rep.",IRN,GDP (current US$),NY.GDP.MKTP.CD,401505000000.0
Iraq,IRQ,GDP (current US$),NY.GDP.MKTP.CD,250843000000.0
Iceland,ISL,GDP (current US$),NY.GDP.MKTP.CD,31020032583.0
Israel,ISR,GDP (current US$),NY.GDP.MKTP.CD,509901000000.0
Italy,ITA,GDP (current US$),NY.GDP.MKTP.CD,2254850000000.0
Jamaica,JAM,GDP (current US$),NY.GDP.MKTP.CD,19423355367.0
Jordan,JOR,GDP (current US$),NY.GDP.MKTP.CD,50813642349.0
Japan,JPN,GDP (current US$),NY.GDP.MKTP.CD,4212950000000.0
Kazakhstan,KAZ,GDP (current US$),NY.GDP.MKTP.CD,261421000000.0
Kenya,KEN,GDP (current US$),NY.GDP.MKTP.CD,107441000000.0
Kyrgyz Republic,KGZ,GDP (current US$),NY.GDP.MKTP.CD,13987627909.0
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,31772759999.0
Kiribati,KIR,GDP (current US$),NY.GDP.MKTP.CD,279034355.1
St. Kitts and Nevis,KNA,GDP (current US$),NY.GDP.MKTP.CD,1077033111.0
"Korea, Rep.",KOR,GDP (current US$),NY.GDP.MKTP.CD,1712790000000.0
Kuwait,KWT,GDP (current US$),NY.GDP.MKTP.CD,161772000000.0
Latin America & Caribbean (excluding high income),LAC,GDP (current US$),NY.GDP.MKTP.CD,6050580000000.0
Lao PDR,LAO,GDP (current US$),NY.GDP.MKTP.CD,15843155731.0
Lebanon,LBN,GDP (current US$),NY.GDP.MKTP.CD,20992421949.0
Liberia,LBR,GDP (current US$),NY.GDP.MKTP.CD,4332000000.0
Libya,LBY,GDP (current US$),NY.GDP.MKTP.CD,50491722446.0
St. Lucia,LCA,GDP (current US$),NY.GDP.MKTP.CD,2519925939.0
Latin America & Caribbean,LCN,GDP (current US$),NY.GDP.MKTP.CD,7094330000000.0
Least developed countries: UN classification,LDC,GDP (current US$),NY.GDP.MKTP.CD,1504250000000.0
Low income,LIC,GDP (current US$),NY.GDP.MKTP.CD,646798000000.0
Liechtenstein,LIE,GDP (current US$),NY.GDP.MKTP.CD,7364654515.0
Sri Lanka,LKA,GDP (current US$),NY.GDP.MKTP.CD,84356860421.0
Lower middle income,LMC,GDP (current US$),NY.GDP.MKTP.CD,7384750000000.0
Low & middle income,LMY,GDP (current US$),NY.GDP.MKTP.CD,37425200000000.0
Lesotho,LSO,GDP (current US$),NY.GDP.MKTP.CD,2046039024.0
Late-demographic dividend,LTE,GDP (current US$),NY.GDP.MKTP.CD,28341400000000.0
Lithuania,LTU,GDP (current US$),NY.GDP.MKTP.CD,77836396963.0
Luxembourg,LUX,GDP (current US$),NY.GDP.MKTP.CD,85755006124.0
Latvia,LVA,GDP (current US$),NY.GDP.MKTP.CD,43627078481.0
"Macao SAR, China",MAC,GDP (current US$),NY.GDP.MKTP.CD,47061843716.0
St. Martin (French part),MAF,GDP (current US$),NY.GDP.MKTP.CD,649206262.8
Morocco,MAR,GDP (current US$),NY.GDP.MKTP.CD,141109000000.0
Monaco,MCO,GDP (current US$),NY.GDP.MKTP.CD,8784002932.0
Moldova,MDA,GDP (current US$),NY.GDP.MKTP.CD,16539436547.0
Madagascar,MDG,GDP (current US$),NY.GDP.MKTP.CD,16031702915.0
Maldives,MDV,GDP (current US$),NY.GDP.MKTP.CD,6600000000.0
Middle East & North Africa,MEA,GDP (current US$),NY.GDP.MKTP.CD,4287680000000.0
Mexico,MEX,GDP (current US$),NY.GDP.MKTP.CD,1788890000000.0
Marshall Islands,MHL,GDP (current US$),NY.GDP.MKTP.CD,284000000.0
Middle income,MIC,GDP (current US$),NY.GDP.MKTP.CD,36786900000000.0
North Macedonia,MKD,GDP (current US$),NY.GDP.MKTP.CD,14761237042.0
Mali,MLI,GDP (current US$),NY.GDP.MKTP.CD,20904898296.0
Malta,MLT,GDP (current US$),NY.GDP.MKTP.CD,20956999452.0
Myanmar,MMR,GDP (current US$),NY.GDP.MKTP.CD,64815031669.0
Middle East & North Africa (excluding high income),MNA,GDP (current US$),NY.GDP.MKTP.CD,1646550000000.0
Montenegro,MNE,GDP (current US$),NY.GDP.MKTP.CD,7404541965.0
Mongolia,MNG,GDP (current US$),NY.GDP.MKTP.CD,19872180370.0
Northern Mariana Islands,MNP,GDP (current US$),NY.GDP.MKTP.CD,858000000.0
Mozambique,MOZ,GDP (current US$),NY.GDP.MKTP.CD,20624597847.0
Mauritania,MRT,GDP (current US$),NY.GDP.MKTP.CD,10452577063.0
Mauritius,MUS,GDP (current US$),NY.GDP.MKTP.CD,14397127281.0
Malawi,MWI,GDP (current US$),NY.GDP.MKTP.CD,14084341062.0
Malaysia,MYS,GDP (current US$),NY.GDP.MKTP.CD,399649000000.0
North America,NAC,GDP (current US$),NY.GDP.MKTP.CD,29509300000000.0
Namibia,NAM,GDP (current US$),NY.GDP.MKTP.CD,12351024844.0
New Caledonia,NCL,GDP (current US$),NY.GDP.MKTP.CD,9623318718.0
Niger,NER,GDP (current US$),NY.GDP.MKTP.CD,16819170421.0
Nigeria,NGA,GDP (current US$),NY.GDP.MKTP.CD,362815000000.0
Nicaragua,NIC,GDP (current US$),NY.GDP.MKTP.CD,17829215284.0
Netherlands,NLD,GDP (current US$),NY.GDP.MKTP.CD,1118120000000.0
Norway,NOR,GDP (current US$),NY.GDP.MKTP.CD,485513000000.0
Nepal,NPL,GDP (current US$),NY.GDP.MKTP.CD,40908073367.0
Nauru,NRU,GDP (current US$),NY.GDP.MKTP.CD,154127798.2
New Zealand,NZL,GDP (current US$),NY.GDP.MKTP.CD,253466000000.0
OECD members,OED,GDP (current US$),NY.GDP.MKTP.CD,64098900000000.0
Oman,OMN,GDP (current US$),NY.GDP.MKTP.CD,108192000000.0
Other small states,OSS,GDP (current US$),NY.GDP.MKTP.CD,234402000000.0
Pakistan,PAK,GDP (current US$),NY.GDP.MKTP.CD,338368000000.0
Panama,PAN,GDP (current US$),NY.GDP.MKTP.CD,83382400000.0
Peru,PER,GDP (current US$),NY.GDP.MKTP.CD,267603000000.0
Philippines,PHL,GDP (current US$),NY.GDP.MKTP.CD,437146000000.0
Palau,PLW,GDP (current US$),NY.GDP.MKTP.CD,263020733.7
Papua New Guinea,PNG,GDP (current US$),NY.GDP.MKTP.CD,30932496250.0
Poland,POL,GDP (current US$),NY.GDP.MKTP.CD,811229000000.0
Pre-demographic dividend,PRE,GDP (current US$),NY.GDP.MKTP.CD,1562530000000.0
Puerto Rico,PRI,GDP (current US$),NY.GDP.MKTP.CD,117902000000.0
"Korea, Dem. People's Rep.",PRK,GDP (current US$),NY.GDP.MKTP.CD,0.0
Portugal,PRT,GDP (current US$),NY.GDP.MKTP.CD,287080000000.0
Paraguay,PRY,GDP (current US$),NY.GDP.MKTP.CD,42956263544.0
West Bank and Gaza,PSE,GDP (current US$),NY.GDP.MKTP.CD,17396300000.0
Pacific island small states,PSS,GDP (current US$),NY.GDP.MKTP.CD,11232231820.0
Post-demographic dividend,PST,GDP (current US$),NY.GDP.MKTP.CD,59851800000000.0
French Polynesia,PYF,GDP (current US$),NY.GDP.MKTP.CD,5814661209.0
Qatar,QAT,GDP (current US$),NY.GDP.MKTP.CD,235770000000.0
Romania,ROU,GDP (current US$),NY.GDP.MKTP.CD,351003000000.0
Russian Federation,RUS,GDP (current US$),NY.GDP.MKTP.CD,2021420000000.0
Rwanda,RWA,GDP (current US$),NY.GDP.MKTP.CD,14097768648.0
South Asia,SAS,GDP (current US$),NY.GDP.MKTP.CD,4475570000000.0
Saudi Arabia,SAU,GDP (current US$),NY.GDP.MKTP.CD,1067580000000.0
Sudan,SDN,GDP (current US$),NY.GDP.MKTP.CD,109327000000.0
Senegal,SEN,GDP (current US$),NY.GDP.MKTP.CD,31013986429.0
Singapore,SGP,GDP (current US$),NY.GDP.MKTP.CD,501428000000.0
Solomon Islands,SLB,GDP (current US$),NY.GDP.MKTP.CD,1631286701.0
Sierra Leone,SLE,GDP (current US$),NY.GDP.MKTP.CD,3809832237.0
El Salvador,SLV,GDP (current US$),NY.GDP.MKTP.CD,34015620000.0
San Marino,SMR,GDP (current US$),NY.GDP.MKTP.CD,1855382833.0
Somalia,SOM,GDP (current US$),NY.GDP.MKTP.CD,11679800110.0
Serbia,SRB,GDP (current US$),NY.GDP.MKTP.CD,75187125427.0
Sub-Saharan Africa (excluding high income),SSA,GDP (current US$),NY.GDP.MKTP.CD,2030610000000.0
South Sudan,SSD,GDP (current US$),NY.GDP.MKTP.CD,11997800760.0
Sub-Saharan Africa,SSF,GDP (current US$),NY.GDP.MKTP.CD,2032750000000.0
Small states,SST,GDP (current US$),NY.GDP.MKTP.CD,298978000000.0
Sao Tome and Principe,STP,GDP (current US$),NY.GDP.MKTP.CD,603240749.0
Suriname,SUR,GDP (current US$),NY.GDP.MKTP.CD,3782437296.0
Slovak Republic,SVK,GDP (current US$),NY.GDP.MKTP.CD,132794000000.0
Slovenia,SVN,GDP (current US$),NY.GDP.MKTP.CD,68216781411.0
Sweden,SWE,GDP (current US$),NY.GDP.MKTP.CD,593268000000.0
Eswatini,SWZ,GDP (current US$),NY.GDP.MKTP.CD,4597855845.0
Sint Maarten (Dutch part),SXM,GDP (current US$),NY.GDP.MKTP.CD,1623165683.0
Seychelles,SYC,GDP (current US$),NY.GDP.MKTP.CD,2141450171.0
Syrian Arab Republic,SYR,GDP (current US$),NY.GDP.MKTP.CD,8980060819.0
Turks and Caicos Islands,TCA,GDP (current US$),NY.GDP.MKTP.CD,1402054391.0
Chad,TCD,GDP (current US$),NY.GDP.MKTP.CD,13149325359.0
East Asia & Pacific (IDA & IBRD countries),TEA,GDP (current US$),NY.GDP.MKTP.CD,21124100000000.0
Europe & Central Asia (IDA & IBRD countries),TEC,GDP (current US$),NY.GDP.MKTP.CD,5466280000000.0
Togo,TGO,GDP (current US$),NY.GDP.MKTP.CD,9171261835.0
Thailand,THA,GDP (current US$),NY.GDP.MKTP.CD,514945000000.0
Tajikistan,TJK,GDP (current US$),NY.GDP.MKTP.CD,12060602009.0
Turkmenistan,TKM,GDP (current US$),NY.GDP.MKTP.CD,59887334844.0
Latin America & the Caribbean (IDA & IBRD countries),TLA,GDP (current US$),NY.GDP.MKTP.CD,6772780000000.0
Timor-Leste,TLS,GDP (current US$),NY.GDP.MKTP.CD,2243142908.0
Middle East & North Africa (IDA & IBRD countries),TMN,GDP (current US$),NY.GDP.MKTP.CD,1629170000000.0
Tonga,TON,GDP (current US$),NY.GDP.MKTP.CD,500274898.1
South Asia (IDA & IBRD),TSA,GDP (current US$),NY.GDP.MKTP.CD,4475570000000.0
Sub-Saharan Africa (IDA & IBRD countries),TSS,GDP (current US$),NY.GDP.MKTP.CD,2032750000000.0
Trinidad and Tobago,TTO,GDP (current US$),NY.GDP.MKTP.CD,28139944790.0
Tunisia,TUN,GDP (current US$),NY.GDP.MKTP.CD,48529595417.0
Turkiye,TUR,GDP (current US$),NY.GDP.MKTP.CD,1108020000000.0
Tuvalu,TUV,GDP (current US$),NY.GDP.MKTP.CD,62280311.59
Tanzania,TZA,GDP (current US$),NY.GDP.MKTP.CD,79158286334.0
Uganda,UGA,GDP (current US$),NY.GDP.MKTP.CD,49272882214.0
Ukraine,UKR,GDP (current US$),NY.GDP.MKTP.CD,178757000000.0
Upper middle income,UMC,GDP (current US$),NY.GDP.MKTP.CD,29403700000000.0
Uruguay,URY,GDP (current US$),NY.GDP.MKTP.CD,77240831587.0
United States,USA,GDP (current US$),NY.GDP.MKTP.CD,27360900000000.0
Uzbekistan,UZB,GDP (current US$),NY.GDP.MKTP.CD,90889149307.0
St. Vincent and the Grenadines,VCT,GDP (current US$),NY.GDP.MKTP.CD,1065962963.0
"Venezuela, RB",VEN,GDP (current US$),NY.GDP.MKTP.CD,482359000000.0
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,0.0
Virgin Islands (U.S.),VIR,GDP (current US$),NY.GDP.MKTP.CD,4444000000.0
Viet Nam,VNM,GDP (current US$),NY.GDP.MKTP.CD,429717000000.0
Vanuatu,VUT,GDP (current US$),NY.GDP.MKTP.CD,1126313359.0
World,WLD,GDP (current US$),NY.GDP.MKTP.CD,105435000000000.0
Samoa,WSM,GDP (current US$),NY.GDP.MKTP.CD,934100336.3
Kosovo,XKX,GDP (current US$),NY.GDP.MKTP.CD,10438351483.0
"Yemen, Rep.",YEM,GDP (current US$),NY.GDP.MKTP.CD,21606160663.0
South Africa,ZAF,GDP (current US$),NY.GDP.MKTP.CD,377782000000.0
Zambia,ZMB,GDP (current US$),NY.GDP.MKTP.CD,28162630954.0
Zimbabwe,ZWE,GDP (current US$),NY.GDP.MKTP.CD,26538273499.0
