Country Name,Country Code,Education Expenditure,GDP,Literacy Rate,Employment Rate
Pacific island small states,PSS,0,11232231820,0,64.3865881
Pakistan,PAK,1.687000036,3.38E+11,57.99885941,49.725
Palau,PLW,7.521989822,263020733.7,96.59374237,0
Panama,PAN,3.887000084,83382400000,95.73607635,58.404
Papua New Guinea,PNG,1.874830008,30932496250,61.59999847,45.991
Paraguay,PRY,3.414969921,42956263544,94.54454803,66.901
Peru,PER,3.894099951,2.68E+11,94.49793243,70.034
Philippines,PHL,3.579999924,4.37E+11,98.47457123,58.891
Poland,POL,4.920000076,8.11E+11,99.80000305,57.275
Portugal,PRT,4.610000134,2.87E+11,96.77999878,55.358
Post-demographic dividend,PST,5.050000191,5.99E+13,0,58.28203879
Pre-demographic dividend,PRE,3.138999939,1.56E+12,64.97795105,59.86894888
Puerto Rico,PRI,6.072659969,1.18E+11,92.40000153,38.953
Qatar,QAT,3.233669996,2.36E+11,97.74668884,88.753
Romania,ROU,3.253051758,3.51E+11,99.15943146,48.743
Russian Federation,RUS,3.701467514,2.02E+12,99.92777252,59.148
Rwanda,RWA,4.144999981,14097768648,78.76318359,51.476
Samoa,WSM,4.480999947,934100336.3,99.09999847,49.31
San Marino,SMR,3.108920097,1855382833,99.91475677,0
Sao Tome and Principe,STP,5.156000137,603240749,93.75,46.269
Saudi Arabia,SAU,5.13781023,1.07E+12,97.58506775,58.517
Senegal,SEN,5.640999794,31013986429,57.66999817,48.79
Serbia,SRB,3.299659967,75187125427,99.48252869,54.327
Seychelles,SYC,4.739999771,2141450171,96.19999695,0
Sierra Leone,SLE,8.806349754,3809832237,48.63999939,52.178
Singapore,SGP,2.388999939,5.01E+11,97.6475296,67.04
Sint Maarten (Dutch part),SXM,0,1623165683,0,0
Slovak Republic,SVK,4.260000229,1.33E+11,0,58.064
Slovenia,SVN,5.659999847,68216781411,99.59999847,56.462
Small states,SST,4.980705023,2.99E+11,87.01966095,56.51077993
Solomon Islands,SLB,7.47837019,1631286701,76.59999847,83.146
